Obec;Okres;Kraj
Sambron;Okres Stara Lubovna;Presovsky kraj
Samorin;Okres Dunajska Streda;Trnavsky kraj
Samudovce;Okres Michalovce;Kosicky kraj
Sandal;Okres Stropkov;Presovsky kraj
Santovka;Okres Levice;Nitriansky kraj
Sap;Okres Dunajska Streda;Trnavsky kraj
Sarbov;Okres Svidnik;Presovsky kraj
Sarisska Poruba;Okres Presov;Presovsky kraj
Sarisska Trstena;Okres Presov;Presovsky kraj
Sarisske Bohdanovce;Okres Presov;Presovsky kraj
Sarisske Cierne;Okres Bardejov;Presovsky kraj
Sarisske Dravce;Okres Sabinov;Presovsky kraj
Sarisske Jastrabie;Okres Stara Lubovna;Presovsky kraj
Sarisske Michalany;Okres Sabinov;Presovsky kraj
Sarisske Sokolovce;Okres Sabinov;Presovsky kraj
Sarissky Stiavnik;Okres Svidnik;Presovsky kraj
Sarkan;Okres Nove Zamky;Nitriansky kraj
Sarovce;Okres Levice;Nitriansky kraj
Sasa, okres Revuca;Okres Revuca;Banskobystricky kraj
Sasa, okres Zvolen;Okres Zvolen;Banskobystricky kraj
Sasinkovo;Okres Hlohovec;Trnavsky kraj
Sasova;Okres Bardejov;Presovsky kraj
Sastin-Straze;Okres Senica;Trnavsky kraj
Savol;Okres Lucenec;Banskobystricky kraj
Sazdice;Okres Levice;Nitriansky kraj
Sebedin-Becov;Okres Banska Bystrica;Banskobystricky kraj
Sebedrazie;Okres Prievidza;Trenciansky kraj
Sebechleby;Okres Krupina;Banskobystricky kraj
Sec;Okres Prievidza;Trenciansky kraj
Secianky;Okres Velky Krtis;Banskobystricky kraj
Secovce;Okres Trebisov;Kosicky kraj
Secovska Polianka;Okres Vranov nad Toplou;Presovsky kraj
Sedliacka Dubova;Okres Dolny Kubin;Zilinsky kraj
Sedlice;Okres Presov;Presovsky kraj
Sedliska;Okres Vranov nad Toplou;Presovsky kraj
Sedmerovec;Okres Ilava;Trenciansky kraj
Sejkov;Okres Sobrance;Kosicky kraj
Sekule;Okres Senica;Trnavsky kraj
Selany;Okres Velky Krtis;Banskobystricky kraj
Selce, okres Banska Bystrica;Okres Banska Bystrica;Banskobystricky kraj
Selce, okres Krupina;Okres Krupina;Banskobystricky kraj
Selce, okres Poltar;Okres Poltar;Banskobystricky kraj
Selec;Okres Trencin;Trenciansky kraj
Selice;Okres Sala;Nitriansky kraj
Selpice;Okres Trnava;Trnavsky kraj
Semerovo;Okres Nove Zamky;Nitriansky kraj
Semetkovce;Okres Svidnik;Presovsky kraj
Semsa;Okres Kosice - okolie;Kosicky kraj
Sena;Okres Kosice - okolie;Kosicky kraj
Senec;Okres Senec;Bratislavsky kraj
Seniakovce;Okres Presov;Presovsky kraj
Senica;Okres Senica;Trnavsky kraj
Senkvice;Okres Pezinok;Bratislavsky kraj
Senne, okres Michalovce;Okres Michalovce;Kosicky kraj
Senne, okres Velky Krtis;Okres Velky Krtis;Banskobystricky kraj
Senohrad;Okres Krupina;Banskobystricky kraj
Sered;Okres Galanta;Trnavsky kraj
Siatorska Bukovinka;Okres Lucenec;Banskobystricky kraj
Siba;Okres Bardejov;Presovsky kraj
Sid;Okres Lucenec;Banskobystricky kraj
Sielnica;Okres Zvolen;Banskobystricky kraj
Sihelne;Okres Namestovo;Zilinsky kraj
Sihla;Okres Brezno;Banskobystricky kraj
Sikenica;Okres Levice;Nitriansky kraj
Sikenicka;Okres Nove Zamky;Nitriansky kraj
Siladice;Okres Hlohovec;Trnavsky kraj
