Obec;Okres;Kraj
Dulovo;Okres Rimavska Sobota;Banskobystricky kraj
Dunajov;Okres Cadca;Zilinsky kraj
Dunajska Luzna;Okres Senec;Bratislavsky kraj
Dunajska Streda;Okres Dunajska Streda;Trnavsky kraj
Dunajsky Klatov;Okres Dunajska Streda;Trnavsky kraj
Duplin;Okres Stropkov;Presovsky kraj
Durcina;Okres Zilina;Zilinsky kraj
Durdos;Okres Vranov nad Toplou;Presovsky kraj
Durdosik;Okres Kosice - okolie;Kosicky kraj
Durdove;Okres Povazska Bystrica;Trenciansky kraj
Durkov;Okres Kosice - okolie;Kosicky kraj
Durkova;Okres Stara Lubovna;Presovsky kraj
Durkovce;Okres Velky Krtis;Banskobystricky kraj
Dvorany nad Nitrou;Okres Topolcany;Nitriansky kraj
Dvorec;Okres Banovce nad Bebravou;Trenciansky kraj
Dvorianky;Okres Trebisov;Kosicky kraj
Dvorniky;Okres Hlohovec;Trnavsky kraj
Dvorniky-Vcelare;Okres Kosice - okolie;Kosicky kraj
Dvory nad Zitavou;Okres Nove Zamky;Nitriansky kraj
Egres;Okres Trebisov;Kosicky kraj
Fackov;Okres Zilina;Zilinsky kraj
Falkusovce;Okres Michalovce;Kosicky kraj
Farna;Okres Levice;Nitriansky kraj
Fekisovce;Okres Sobrance;Kosicky kraj
Figa;Okres Rimavska Sobota;Banskobystricky kraj
Fijas;Okres Svidnik;Presovsky kraj
Filakovo;Okres Lucenec;Banskobystricky kraj
Filakovske Kovace;Okres Lucenec;Banskobystricky kraj
Fintice;Okres Presov;Presovsky kraj
Folkusova;Okres Martin;Zilinsky kraj
Forbasy;Okres Stara Lubovna;Presovsky kraj
Fricka;Okres Bardejov;Presovsky kraj
Frickovce;Okres Bardejov;Presovsky kraj
Fricovce;Okres Presov;Presovsky kraj
Fulianka;Okres Presov;Presovsky kraj
Gabcikovo;Okres Dunajska Streda;Trnavsky kraj
Gaboltov;Okres Bardejov;Presovsky kraj
Gajary;Okres Malacky;Bratislavsky kraj
Galanta;Okres Galanta;Trnavsky kraj
Galovany;Okres Liptovsky Mikulas;Zilinsky kraj
Gan;Okres Galanta;Trnavsky kraj
Ganovce;Okres Poprad;Presovsky kraj
Gbelany;Okres Zilina;Zilinsky kraj
Gbelce;Okres Nove Zamky;Nitriansky kraj
Gbely;Okres Skalica;Trnavsky kraj
Geca;Okres Kosice - okolie;Kosicky kraj
Gelnica;Okres Gelnica;Kosicky kraj
Gemer;Okres Revuca;Banskobystricky kraj
Gemercek;Okres Rimavska Sobota;Banskobystricky kraj
Gemerska Horka;Okres Roznava;Kosicky kraj
Gemerska Panica;Okres Roznava;Kosicky kraj
Gemerska Poloma;Okres Roznava;Kosicky kraj
Gemerska Ves;Okres Revuca;Banskobystricky kraj
Gemerske Dechtare;Okres Rimavska Sobota;Banskobystricky kraj
Gemerske Michalovce;Okres Rimavska Sobota;Banskobystricky kraj
Gemerske Teplice;Okres Revuca;Banskobystricky kraj
Gemersky Jablonec;Okres Rimavska Sobota;Banskobystricky kraj
Gemersky Sad;Okres Revuca;Banskobystricky kraj
Geraltov;Okres Presov;Presovsky kraj
Gerlachov, okres Bardejov;Okres Bardejov;Presovsky kraj
Gerlachov, okres Poprad;Okres Poprad;Presovsky kraj
Giglovce;Okres Vranov nad Toplou;Presovsky kraj
Giraltovce;Okres Svidnik;Presovsky kraj
Girovce;Okres Vranov nad Toplou;Presovsky kraj
Glabusovce;Okres Velky Krtis;Banskobystricky kraj
Gocaltovo;Okres Roznava;Kosicky kraj
Gocovo;Okres Roznava;Kosicky kraj
Golianovo;Okres Nitra;Nitriansky kraj
Gortva;Okres Rimavska Sobota;Banskobystricky kraj
Gotovany;Okres Liptovsky Mikulas;Zilinsky kraj
Granc-Petrovce;Okres Levoca;Presovsky kraj
Gregorova Vieska;Okres Lucenec;Banskobystricky kraj
Gregorovce;Okres Presov;Presovsky kraj
Gribov;Okres Stropkov;Presovsky kraj
Gruzovce;Okres Humenne;Presovsky kraj
Gynov;Okres Kosice - okolie;Kosicky kraj
Habovka;Okres Tvrdosin;Zilinsky kraj
Habura;Okres Medzilaborce;Presovsky kraj
Hacava;Okres Kosice - okolie;Kosicky kraj
Haj, okres Kosice - okolie;Okres Kosice - okolie;Kosicky kraj
Haj, okres Turcianske Teplice;Okres Turcianske Teplice;Zilinsky kraj
Hajna Nova Ves;Okres Topolcany;Nitriansky kraj
Hajnacka;Okres Rimavska Sobota;Banskobystricky kraj
Hajske;Okres Sala;Nitriansky kraj
Hajtovka;Okres Stara Lubovna;Presovsky kraj
Halacovce;Okres Banovce nad Bebravou;Trenciansky kraj
Halic;Okres Lucenec;Banskobystricky kraj
Haligovce;Okres Stara Lubovna;Presovsky kraj
Haluzice;Okres Nove Mesto nad Vahom;Trenciansky kraj
Hamuliakovo;Okres Senec;Bratislavsky kraj
Handlova;Okres Prievidza;Trenciansky kraj
Hanigovce;Okres Sabinov;Presovsky kraj
Haniska, okres Kosice - okolie;Okres Kosice - okolie;Kosicky kraj
Haniska, okres Presov;Okres Presov;Presovsky kraj
Hankova;Okres Roznava;Kosicky kraj
Hankovce, okres Bardejov;Okres Bardejov;Presovsky kraj
Hankovce, okres Humenne;Okres Humenne;Presovsky kraj
Hanusovce nad Toplou;Okres Vranov nad Toplou;Presovsky kraj
Harakovce;Okres Levoca;Presovsky kraj
Harhaj;Okres Bardejov;Presovsky kraj
Harichovce;Okres Spisska Nova Ves;Kosicky kraj
Harmanec;Okres Banska Bystrica;Banskobystricky kraj
Hatalov;Okres Michalovce;Kosicky kraj
Hatne;Okres Povazska Bystrica;Trenciansky kraj
Havaj;Okres Stropkov;Presovsky kraj
Havka;Okres Kezmarok;Presovsky kraj
Havranec;Okres Svidnik;Presovsky kraj
Hazin;Okres Michalovce;Kosicky kraj
Hazin nad Cirochou;Okres Humenne;Presovsky kraj
Hazlin;Okres Bardejov;Presovsky kraj
Helcmanovce;Okres Gelnica;Kosicky kraj
Helpa;Okres Brezno;Banskobystricky kraj
Henckovce;Okres Roznava;Kosicky kraj
Henclova;Okres Gelnica;Kosicky kraj
Hencovce;Okres Vranov nad Toplou;Presovsky kraj
Hendrichovce;Okres Presov;Presovsky kraj
Herlany;Okres Kosice - okolie;Kosicky kraj
Hermanovce;Okres Presov;Presovsky kraj
Hermanovce nad Toplou;Okres Vranov nad Toplou;Presovsky kraj
Hertnik;Okres Bardejov;Presovsky kraj
Hervartov;Okres Bardejov;Presovsky kraj
Hiadel;Okres Banska Bystrica;Banskobystricky kraj
Hincovce;Okres Spisska Nova Ves;Kosicky kraj
Hladovka;Okres Tvrdosin;Zilinsky kraj
Hlboke;Okres Senica;Trnavsky kraj
Hlboke nad Vahom;Okres Bytca;Zilinsky kraj
Hlinik nad Hronom;Okres Ziar nad Hronom;Banskobystricky kraj
Hlinne;Okres Vranov nad Toplou;Presovsky kraj
Hlivistia;Okres Sobrance;Kosicky kraj
Hlohovec;Okres Hlohovec;Trnavsky kraj
Hniezdne;Okres Stara Lubovna;Presovsky kraj
Hnilcik;Okres Spisska Nova Ves;Kosicky kraj
Hnilec;Okres Spisska Nova Ves;Kosicky kraj
Hnojne;Okres Michalovce;Kosicky kraj
Hnusta;Okres Rimavska Sobota;Banskobystricky kraj
Hodejov;Okres Rimavska Sobota;Banskobystricky kraj
Hodejovec;Okres Rimavska Sobota;Banskobystricky kraj
Hodkovce;Okres Kosice - okolie;Kosicky kraj
Hodrusa-Hamre;Okres Zarnovica;Banskobystricky kraj
Hokovce;Okres Levice;Nitriansky kraj
Holcikovce;Okres Vranov nad Toplou;Presovsky kraj
Holiare;Okres Komarno;Nitriansky kraj
Holic;Okres Skalica;Trnavsky kraj
Holice;Okres Dunajska Streda;Trnavsky kraj
Holisa;Okres Lucenec;Banskobystricky kraj
Holumnica;Okres Kezmarok;Presovsky kraj
Honce;Okres Roznava;Kosicky kraj
Hontianska Vrbica;Okres Levice;Nitriansky kraj
Hontianske Moravce;Okres Krupina;Banskobystricky kraj
Hontianske Nemce;Okres Krupina;Banskobystricky kraj
Hontianske Tesare;Okres Krupina;Banskobystricky kraj
Hontianske Trstany;Okres Levice;Nitriansky kraj
Horka;Okres Poprad;Presovsky kraj
Horka nad Vahom;Okres Nove Mesto nad Vahom;Trenciansky kraj
Horky;Okres Zilina;Zilinsky kraj
Horna;Okres Sobrance;Kosicky kraj
Horna Breznica;Okres Puchov;Trenciansky kraj
Horna Kralova;Okres Sala;Nitriansky kraj
Horna Krupa;Okres Trnava;Trnavsky kraj
Horna Lehota, okres Brezno;Okres Brezno;Banskobystricky kraj
Horna Lehota, okres Dolny Kubin;Okres Dolny Kubin;Zilinsky kraj
Horna Marikova;Okres Povazska Bystrica;Trenciansky kraj
Horna Micina;Okres Banska Bystrica;Banskobystricky kraj
Horna Poruba;Okres Ilava;Trenciansky kraj
Horna Poton;Okres Dunajska Streda;Trnavsky kraj
Horna Sec;Okres Levice;Nitriansky kraj
Horna Streda;Okres Nove Mesto nad Vahom;Trenciansky kraj
Horna Strehova;Okres Velky Krtis;Banskobystricky kraj
Horna Stubna;Okres Turcianske Teplice;Zilinsky kraj
Horna Suca;Okres Trencin;Trenciansky kraj
Horna Ves, okres Prievidza;Okres Prievidza;Trenciansky kraj
Horna Ves, okres Ziar nad Hronom;Okres Ziar nad Hronom;Banskobystricky kraj
Horna Zdana;Okres Ziar nad Hronom;Banskobystricky kraj
Hornany;Okres Trencin;Trenciansky kraj
Horne Dubove;Okres Trnava;Trnavsky kraj
Horne Hamre;Okres Zarnovica;Banskobystricky kraj
Horne Chlebany;Okres Topolcany;Nitriansky kraj
Horne Lefantovce;Okres Nitra;Nitriansky kraj
Horne Mladonice;Okres Krupina;Banskobystricky kraj
Horne Myto;Okres Dunajska Streda;Trnavsky kraj
Horne Nastice;Okres Banovce nad Bebravou;Trenciansky kraj
Horne Obdokovce;Okres Topolcany;Nitriansky kraj
Horne Oresany;Okres Trnava;Trnavsky kraj
Horne Otrokovce;Okres Hlohovec;Trnavsky kraj
Horne Plachtince;Okres Velky Krtis;Banskobystricky kraj
Horne Prsany;Okres Banska Bystrica;Banskobystricky kraj
Horne Saliby;Okres Galanta;Trnavsky kraj
Horne Semerovce;Okres Levice;Nitriansky kraj
Horne Srnie;Okres Trencin;Trenciansky kraj
Horne Stitare;Okres Topolcany;Nitriansky kraj
Horne Strhare;Okres Velky Krtis;Banskobystricky kraj
Horne Trhoviste;Okres Hlohovec;Trnavsky kraj
Horne Turovce;Okres Levice;Nitriansky kraj
Horne Vestenice;Okres Prievidza;Trenciansky kraj
Horne Zahorany;Okres Rimavska Sobota;Banskobystricky kraj
Horne Zelenice;Okres Hlohovec;Trnavsky kraj
Horny Badin;Okres Krupina;Banskobystricky kraj
Horny Bar;Okres Dunajska Streda;Trnavsky kraj
Horny Hricov;Okres Zilina;Zilinsky kraj
Horny Kalnik;Okres Martin;Zilinsky kraj
Horny Lieskov;Okres Povazska Bystrica;Trenciansky kraj
Horny Pial;Okres Levice;Nitriansky kraj
Horny Tisovnik;Okres Detva;Banskobystricky kraj
Horny Vadicov;Okres Kysucke Nove Mesto;Zilinsky kraj
Horovce, okres Michalovce;Okres Michalovce;Kosicky kraj
Horovce, okres Puchov;Okres Puchov;Trenciansky kraj
Hoste;Okres Galanta;Trnavsky kraj
Hostice;Okres Rimavska Sobota;Banskobystricky kraj
Hostie;Okres Zlate Moravce;Nitriansky kraj
Hostisovce;Okres Rimavska Sobota;Banskobystricky kraj
Hostova;Okres Nitra;Nitriansky kraj
Hostovce, okres Kosice - okolie;Okres Kosice - okolie;Kosicky kraj
Hostovce, okres Zlate Moravce;Okres Zlate Moravce;Nitriansky kraj
Hostovice;Okres Snina;Presovsky kraj
Hozelec;Okres Poprad;Presovsky kraj
Hrabicov;Okres Zarnovica;Banskobystricky kraj
Hrabkov;Okres Presov;Presovsky kraj
Hrabova Roztoka;Okres Snina;Presovsky kraj
Hrabovcik;Okres Svidnik;Presovsky kraj
Hrabovec;Okres Bardejov;Presovsky kraj
Hrabovec nad Laborcom;Okres Humenne;Presovsky kraj
Hrabovka;Okres Trencin;Trenciansky kraj
Hrabske;Okres Bardejov;Presovsky kraj
Hrabusice;Okres Spisska Nova Ves;Kosicky kraj
Hradisko;Okres Kezmarok;Presovsky kraj
Hradiste pod Vratnom;Okres Senica;Trnavsky kraj
Hradiste, okres Partizanske;Okres Partizanske;Trenciansky kraj
Hradiste, okres Poltar;Okres Poltar;Banskobystricky kraj
Hradok;Okres Nove Mesto nad Vahom;Trenciansky kraj
Hrachoviste;Okres Nove Mesto nad Vahom;Trenciansky kraj
Hrachovo;Okres Rimavska Sobota;Banskobystricky kraj
Hran;Okres Trebisov;Kosicky kraj
Hranicne;Okres Stara Lubovna;Presovsky kraj
Hranovnica;Okres Poprad;Presovsky kraj
Hrasne;Okres Myjava;Trenciansky kraj
Hrasovik;Okres Kosice - okolie;Kosicky kraj
Hrcel;Okres Trebisov;Kosicky kraj
Hrhov;Okres Roznava;Kosicky kraj
Hriadky;Okres Trebisov;Kosicky kraj
Hricovske Podhradie;Okres Zilina;Zilinsky kraj
Hrinova;Okres Detva;Banskobystricky kraj
Hrisovce;Okres Gelnica;Kosicky kraj
Hrkovce;Okres Levice;Nitriansky kraj
Hrlica;Okres Revuca;Banskobystricky kraj
Hrnciarovce nad Parnou;Okres Trnava;Trnavsky kraj
Hrnciarska Ves;Okres Poltar;Banskobystricky kraj
Hrnciarske Zaluzany;Okres Poltar;Banskobystricky kraj
Hrochot;Okres Banska Bystrica;Banskobystricky kraj
Hromos;Okres Stara Lubovna;Presovsky kraj
Hronec;Okres Brezno;Banskobystricky kraj
Hronovce;Okres Levice;Nitriansky kraj
Hronsek;Okres Banska Bystrica;Banskobystricky kraj
Hronska Breznica;Okres Zvolen;Banskobystricky kraj
Hronska Dubrava;Okres Ziar nad Hronom;Banskobystricky kraj
Hronske Klacany;Okres Levice;Nitriansky kraj
Hronske Kosihy;Okres Levice;Nitriansky kraj
Hronsky Benadik;Okres Zarnovica;Banskobystricky kraj
Hruba Borsa;Okres Senec;Bratislavsky kraj
Hrubonovo;Okres Nitra;Nitriansky kraj
Hrubov;Okres Humenne;Presovsky kraj
Hruby Sur;Okres Senec;Bratislavsky kraj
Hrusov, okres Roznava;Okres Roznava;Kosicky kraj
Hrusov, okres Velky Krtis;Okres Velky Krtis;Banskobystricky kraj
Hrusovany;Okres Topolcany;Nitriansky kraj
Hrusovo;Okres Rimavska Sobota;Banskobystricky kraj
Hrustin;Okres Namestovo;Zilinsky kraj
Hubice;Okres Dunajska Streda;Trnavsky kraj
Hubina;Okres Piestany;Trnavsky kraj
Hubosovce;Okres Sabinov;Presovsky kraj
Hubova;Okres Ruzomberok;Zilinsky kraj
Hubovo;Okres Rimavska Sobota;Banskobystricky kraj
Hucin;Okres Revuca;Banskobystricky kraj
Hudcovce;Okres Humenne;Presovsky kraj
Hul;Okres Nove Zamky;Nitriansky kraj
Humenne;Okres Humenne;Presovsky kraj
Huncovce;Okres Kezmarok;Presovsky kraj
Hunkovce;Okres Svidnik;Presovsky kraj
Hurbanova Ves;Okres Senec;Bratislavsky kraj
Hurbanovo;Okres Komarno;Nitriansky kraj
Husak;Okres Sobrance;Kosicky kraj
Husina;Okres Rimavska Sobota;Banskobystricky kraj
Hutka;Okres Bardejov;Presovsky kraj
Huty;Okres Liptovsky Mikulas;Zilinsky kraj
Hviezdoslavov;Okres Dunajska Streda;Trnavsky kraj
Hvozdnica;Okres Bytca;Zilinsky kraj
Hybe;Okres Liptovsky Mikulas;Zilinsky kraj
Hylov;Okres Kosice - okolie;Kosicky kraj
Chanava;Okres Rimavska Sobota;Banskobystricky kraj
Chlaba;Okres Nove Zamky;Nitriansky kraj
Chlebnice;Okres Dolny Kubin;Zilinsky kraj
Chlmec;Okres Humenne;Presovsky kraj
Chmelnica;Okres Stara Lubovna;Presovsky kraj
Chmelov;Okres Presov;Presovsky kraj
Chmelova;Okres Bardejov;Presovsky kraj
Chmelovec;Okres Presov;Presovsky kraj
Chminany;Okres Presov;Presovsky kraj
Chminianska Nova Ves;Okres Presov;Presovsky kraj
Chminianske Jakubovany;Okres Presov;Presovsky kraj
Choca;Okres Zlate Moravce;Nitriansky kraj
Chocholna-Velcice;Okres Trencin;Trenciansky kraj
Chonkovce;Okres Sobrance;Kosicky kraj
Chorvatsky Grob;Okres Senec;Bratislavsky kraj
Chorvaty;Okres Kosice - okolie;Kosicky kraj
Chotca;Okres Stropkov;Presovsky kraj
Chotin;Okres Komarno;Nitriansky kraj
Chrabrany;Okres Topolcany;Nitriansky kraj
Chramec;Okres Rimavska Sobota;Banskobystricky kraj
Chrast nad Hornadom;Okres Spisska Nova Ves;Kosicky kraj
Chrastince;Okres Velky Krtis;Banskobystricky kraj
Chrastne;Okres Kosice - okolie;Kosicky kraj
Chrenovec-Brusno;Okres Prievidza;Trenciansky kraj
Chropov;Okres Skalica;Trnavsky kraj
Chrtany;Okres Velky Krtis;Banskobystricky kraj
Chtelnica;Okres Piestany;Trnavsky kraj
Chuda Lehota;Okres Banovce nad Bebravou;Trenciansky kraj
Chvalova;Okres Revuca;Banskobystricky kraj
Chvojnica, okres Myjava;Okres Myjava;Trenciansky kraj
Chvojnica, okres Prievidza;Okres Prievidza;Trenciansky kraj
Chynorany;Okres Partizanske;Trenciansky kraj
Chyzne;Okres Revuca;Banskobystricky kraj
Igram;Okres Senec;Bratislavsky kraj
Ihlany;Okres Kezmarok;Presovsky kraj
Ihrac;Okres Ziar nad Hronom;Banskobystricky kraj
Ilava;Okres Ilava;Trenciansky kraj
Iliasovce;Okres Spisska Nova Ves;Kosicky kraj
Ilija;Okres Banska Stiavnica;Banskobystricky kraj
Imel;Okres Komarno;Nitriansky kraj
Ina;Okres Levice;Nitriansky kraj
Inacovce;Okres Michalovce;Kosicky kraj
Inovce;Okres Sobrance;Kosicky kraj
Ipelske Predmostie;Okres Velky Krtis;Banskobystricky kraj
Ipelske Ulany;Okres Levice;Nitriansky kraj
Ipelsky Sokolec;Okres Levice;Nitriansky kraj
Istebne;Okres Dolny Kubin;Zilinsky kraj
Ivachnova;Okres Ruzomberok;Zilinsky kraj
Ivancina;Okres Turcianske Teplice;Zilinsky kraj
Ivanice;Okres Rimavska Sobota;Banskobystricky kraj
Ivanka pri Dunaji;Okres Senec;Bratislavsky kraj
Ivanka pri Nitre;Okres Nitra;Nitriansky kraj
Ivanovce;Okres Trencin;Trenciansky kraj
Iza;Okres Komarno;Nitriansky kraj
Izipovce;Okres Liptovsky Mikulas;Zilinsky kraj
Izkovce;Okres Michalovce;Kosicky kraj
Jablon;Okres Humenne;Presovsky kraj
Jablonec;Okres Pezinok;Bratislavsky kraj
Jablonica;Okres Senica;Trnavsky kraj
Jablonka;Okres Myjava;Trenciansky kraj
Jablonov;Okres Levoca;Presovsky kraj
Jablonov nad Turnou;Okres Roznava;Kosicky kraj
Jablonovce;Okres Levice;Nitriansky kraj
Jablonove, okres Bytca;Okres Bytca;Zilinsky kraj
Jablonove, okres Malacky;Okres Malacky;Bratislavsky kraj
Jacovce;Okres Topolcany;Nitriansky kraj
Jahodna;Okres Dunajska Streda;Trnavsky kraj
Jaklovce;Okres Gelnica;Kosicky kraj
Jakovany;Okres Sabinov;Presovsky kraj
Jakubany;Okres Stara Lubovna;Presovsky kraj
Jakubov;Okres Malacky;Bratislavsky kraj
Jakubova Vola;Okres Sabinov;Presovsky kraj
Jakubovany, okres Liptovsky Mikulas;Okres Liptovsky Mikulas;Zilinsky kraj
Jakubovany, okres Sabinov;Okres Sabinov;Presovsky kraj
Jakusovce;Okres Stropkov;Presovsky kraj
Jalova;Okres Snina;Presovsky kraj
Jalovec, okres Liptovsky Mikulas;Okres Liptovsky Mikulas;Zilinsky kraj
Jalovec, okres Prievidza;Okres Prievidza;Trenciansky kraj
Jalsove;Okres Hlohovec;Trnavsky kraj
Jalsovik;Okres Krupina;Banskobystricky kraj
Jamnik, okres Liptovsky Mikulas;Okres Liptovsky Mikulas;Zilinsky kraj
Jamnik, okres Spisska Nova Ves;Okres Spisska Nova Ves;Kosicky kraj
Janice;Okres Rimavska Sobota;Banskobystricky kraj
Janik;Okres Kosice - okolie;Kosicky kraj
Janiky;Okres Dunajska Streda;Trnavsky kraj
Jankovce;Okres Humenne;Presovsky kraj
Janov;Okres Presov;Presovsky kraj
Janova Lehota;Okres Ziar nad Hronom;Banskobystricky kraj
Janovce;Okres Bardejov;Presovsky kraj
Janovce, okres Galanta;Okres Galanta;Trnavsky kraj
Janovce, okres Poprad;Okres Poprad;Presovsky kraj
Janovik;Okres Presov;Presovsky kraj
Jaraba;Okres Brezno;Banskobystricky kraj
Jarabina;Okres Stara Lubovna;Presovsky kraj
Jarok;Okres Nitra;Nitriansky kraj
Jarovnice;Okres Sabinov;Presovsky kraj
Jasenica;Okres Povazska Bystrica;Trenciansky kraj
Jasenie;Okres Brezno;Banskobystricky kraj
Jasenov, okres Humenne;Okres Humenne;Presovsky kraj
Jasenov, okres Sobrance;Okres Sobrance;Kosicky kraj
Jasenova;Okres Dolny Kubin;Zilinsky kraj
Jasenovce;Okres Vranov nad Toplou;Presovsky kraj
Jasenove;Okres Zilina;Zilinsky kraj
Jasenovo;Okres Turcianske Teplice;Zilinsky kraj
Jaslovske Bohunice;Okres Trnava;Trnavsky kraj
Jasov;Okres Kosice - okolie;Kosicky kraj
Jasova;Okres Nove Zamky;Nitriansky kraj
Jastraba;Okres Ziar nad Hronom;Banskobystricky kraj
Jastrabie nad Toplou;Okres Vranov nad Toplou;Presovsky kraj
Jastrabie pri Michalovciach;Okres Michalovce;Kosicky kraj
Jatov;Okres Nove Zamky;Nitriansky kraj
Jazernica;Okres Turcianske Teplice;Zilinsky kraj
Jedlinka;Okres Bardejov;Presovsky kraj
Jedlove Kostolany;Okres Zlate Moravce;Nitriansky kraj
Jelenec;Okres Nitra;Nitriansky kraj
Jelka;Okres Galanta;Trnavsky kraj
Jelsava;Okres Revuca;Banskobystricky kraj
Jelsovce;Okres Nitra;Nitriansky kraj
Jelsovec;Okres Lucenec;Banskobystricky kraj
Jenkovce;Okres Sobrance;Kosicky kraj
Jesenske, okres Levice;Okres Levice;Nitriansky kraj
Jesenske, okres Rimavska Sobota;Okres Rimavska Sobota;Banskobystricky kraj
Jeskova Ves;Okres Partizanske;Trenciansky kraj
Jestice;Okres Rimavska Sobota;Banskobystricky kraj
Jezersko;Okres Kezmarok;Presovsky kraj
Jovice;Okres Roznava;Kosicky kraj
Jovsa;Okres Michalovce;Kosicky kraj
Jur nad Hronom;Okres Levice;Nitriansky kraj
Jurkova Vola;Okres Svidnik;Presovsky kraj
Jurova;Okres Dunajska Streda;Trnavsky kraj
Jurske;Okres Kezmarok;Presovsky kraj
Juskova Vola;Okres Vranov nad Toplou;Presovsky kraj
Kacanov;Okres Michalovce;Kosicky kraj
Kajal;Okres Galanta;Trnavsky kraj
Kalamenova;Okres Turcianske Teplice;Zilinsky kraj
Kalameny;Okres Ruzomberok;Zilinsky kraj
Kalava;Okres Spisska Nova Ves;Kosicky kraj
Kalinkovo;Okres Senec;Bratislavsky kraj
Kalinov;Okres Medzilaborce;Presovsky kraj
Kalinovo;Okres Poltar;Banskobystricky kraj
Kalna nad Hronom;Okres Levice;Nitriansky kraj
Kalna Roztoka;Okres Snina;Presovsky kraj
Kalnica;Okres Nove Mesto nad Vahom;Trenciansky kraj
Kalniste;Okres Svidnik;Presovsky kraj
Kalonda;Okres Lucenec;Banskobystricky kraj
Kalosa;Okres Rimavska Sobota;Banskobystricky kraj
Kalsa;Okres Kosice - okolie;Kosicky kraj
Kaluza;Okres Michalovce;Kosicky kraj
Kamanova;Okres Topolcany;Nitriansky kraj
Kamenany;Okres Revuca;Banskobystricky kraj
Kamenec pod Vtacnikom;Okres Prievidza;Trenciansky kraj
Kamenica;Okres Sabinov;Presovsky kraj
Kamenica nad Cirochou;Okres Humenne;Presovsky kraj
Kamenica nad Hronom;Okres Nove Zamky;Nitriansky kraj
Kamenicany;Okres Ilava;Trenciansky kraj
Kamenicna;Okres Komarno;Nitriansky kraj
Kamenin;Okres Nove Zamky;Nitriansky kraj
Kamenna Poruba, okres Vranov nad Toplou;Okres Vranov nad Toplou;Presovsky kraj
Kamenna Poruba, okres Zilina;Okres Zilina;Zilinsky kraj
Kamenne Kosihy;Okres Velky Krtis;Banskobystricky kraj
Kamenny Most;Okres Nove Zamky;Nitriansky kraj
Kamienka, okres Humenne;Okres Humenne;Presovsky kraj
Kamienka, okres Stara Lubovna;Okres Stara Lubovna;Presovsky kraj
Kanianka;Okres Prievidza;Trenciansky kraj
Kapince;Okres Nitra;Nitriansky kraj
Kapisova;Okres Svidnik;Presovsky kraj
Kaplna;Okres Senec;Bratislavsky kraj
Kapusany;Okres Presov;Presovsky kraj
Kapusianske Klacany;Okres Michalovce;Kosicky kraj
Karlova;Okres Martin;Zilinsky kraj
Karna;Okres Humenne;Presovsky kraj
Kasov;Okres Trebisov;Kosicky kraj
Katlovce;Okres Trnava;Trnavsky kraj
Katov;Okres Skalica;Trnavsky kraj
Kazimir;Okres Trebisov;Kosicky kraj
Kecerovce;Okres Kosice - okolie;Kosicky kraj
Kecerovsky Lipovec;Okres Kosice - okolie;Kosicky kraj
Keckovce;Okres Svidnik;Presovsky kraj
Kecovo;Okres Roznava;Kosicky kraj
Kechnec;Okres Kosice - okolie;Kosicky kraj
Kendice;Okres Presov;Presovsky kraj
Kesovce;Okres Rimavska Sobota;Banskobystricky kraj
Ket;Okres Levice;Nitriansky kraj
Kezmarok;Okres Kezmarok;Presovsky kraj
Kiarov;Okres Velky Krtis;Banskobystricky kraj
Klacany;Okres Hlohovec;Trnavsky kraj
Klace;Okres Zilina;Zilinsky kraj
Klacno;Okres Prievidza;Trenciansky kraj
Kladzany;Okres Vranov nad Toplou;Presovsky kraj
Klak;Okres Zarnovica;Banskobystricky kraj
Klasov;Okres Nitra;Nitriansky kraj
Klastor pod Znievom;Okres Martin;Zilinsky kraj
Klatova Nova Ves;Okres Partizanske;Trenciansky kraj
Klcov;Okres Levoca;Presovsky kraj
Klenany;Okres Velky Krtis;Banskobystricky kraj
Klenov;Okres Presov;Presovsky kraj
Klenova;Okres Snina;Presovsky kraj
Klenovec;Okres Rimavska Sobota;Banskobystricky kraj
Kliestina;Okres Povazska Bystrica;Trenciansky kraj
Klin;Okres Namestovo;Zilinsky kraj
Klin nad Bodrogom;Okres Trebisov;Kosicky kraj
Klizska Nema;Okres Komarno;Nitriansky kraj
Klokoc;Okres Detva;Banskobystricky kraj
Klokocov, okres Cadca;Okres Cadca;Zilinsky kraj
Klokocov, okres Michalovce;Okres Michalovce;Kosicky kraj
Klubina;Okres Cadca;Zilinsky kraj
Klucovec;Okres Dunajska Streda;Trnavsky kraj
Kluknava;Okres Gelnica;Kosicky kraj
Klusov;Okres Bardejov;Presovsky kraj
Kmetovo;Okres Nove Zamky;Nitriansky kraj
Kobeliarovo;Okres Roznava;Kosicky kraj
Kobylnice;Okres Svidnik;Presovsky kraj
Kobyly;Okres Bardejov;Presovsky kraj
Kocelovce;Okres Roznava;Kosicky kraj
Kociha;Okres Rimavska Sobota;Banskobystricky kraj
Kocin-Lancar;Okres Piestany;Trnavsky kraj
Kocovce;Okres Nove Mesto nad Vahom;Trenciansky kraj
Kocurany;Okres Prievidza;Trenciansky kraj
Kochanovce, okres Bardejov;Okres Bardejov;Presovsky kraj
Kochanovce, okres Humenne;Okres Humenne;Presovsky kraj
Kojatice;Okres Presov;Presovsky kraj
Kojsov;Okres Gelnica;Kosicky kraj
Kokava nad Rimavicou;Okres Poltar;Banskobystricky kraj
Kokosovce;Okres Presov;Presovsky kraj
